Reason 1,Reason 2,Reason 3,Reason 4,Transportation Expense,Distance to Work,Age 1,Age 2,Age 3,Daily Work Load Average,Education,Children,Pets,Absenteeism Time in Hours,Month value,Day of the Week,Overweight,Obese
0,0,0,1,289,36,1,0,0,239.554,0,2,1,4,7,1,1,0
0,0,0,0,118,13,0,1,0,239.554,0,1,0,0,7,1,0,1
0,0,0,1,179,51,1,0,0,239.554,0,0,0,2,7,2,0,1
1,0,0,0,279,5,1,0,0,239.554,0,2,0,4,7,3,0,0
0,0,0,1,289,36,1,0,0,239.554,0,2,1,2,7,3,1,0
0,0,0,1,179,51,1,0,0,239.554,0,0,0,2,7,4,0,1
0,0,0,1,361,52,0,0,0,239.554,0,1,4,8,7,4,1,0
0,0,0,1,260,50,1,0,0,239.554,0,4,0,4,7,4,0,0
0,0,1,0,155,12,1,0,0,239.554,0,2,0,40,7,0,1,0
0,0,0,1,235,11,1,0,0,239.554,1,1,1,8,7,0,1,0
1,0,0,0,260,50,1,0,0,239.554,0,4,0,8,7,0,0,0
1,0,0,0,260,50,1,0,0,239.554,0,4,0,8,7,1,0,0
1,0,0,0,260,50,1,0,0,239.554,0,4,0,8,7,2,0,0
1,0,0,0,179,51,1,0,0,239.554,0,0,0,1,7,2,0,1
0,0,0,1,179,51,1,0,0,239.554,0,0,0,4,7,2,0,1
1,0,0,0,246,25,0,1,0,239.554,0,0,0,8,7,4,0,0
0,0,0,1,179,51,1,0,0,239.554,0,0,0,2,7,4,0,1
0,0,1,0,179,51,1,0,0,239.554,0,0,0,8,7,0,0,1
1,0,0,0,189,29,1,0,0,239.554,0,2,2,8,7,3,1,0
0,0,0,1,248,25,0,1,0,205.917,0,2,1,2,8,2,0,1
1,0,0,0,330,16,0,0,0,205.917,1,0,0,8,8,2,1,0
1,0,0,0,179,51,1,0,0,205.917,0,0,0,1,8,0,0,1
1,0,0,0,361,52,0,0,0,205.917,0,1,4,40,8,0,1,0
0,0,0,1,260,50,1,0,0,205.917,0,4,0,4,8,4,0,0
0,0,1,0,289,36,1,0,0,205.917,0,2,1,8,8,0,1,0
0,0,0,1,361,52,0,0,0,205.917,0,1,4,7,8,0,1,0
0,0,0,1,289,36,1,0,0,205.917,0,2,1,1,8,1,1,0
0,0,0,1,157,27,0,0,0,205.917,0,0,0,4,8,2,0,0
0,0,1,0,289,36,1,0,0,205.917,0,2,1,8,8,2,1,0
0,0,0,1,179,51,1,0,0,205.917,0,0,0,2,8,4,0,1
